,0
0,"(53063, 53077)"
1,"(53063, 53073)"
2,"(53063, 53005)"
3,"(53063, 53057)"
4,"(53011, 53067)"
5,"(53011, 53035)"
6,"(53011, 53077)"
7,"(53011, 53073)"
8,"(53011, 53005)"
9,"(53063, 53077, 53049)"
10,"(53063, 53077, 53039)"
11,"(53063, 53077, 53003)"
12,"(53063, 53077, 53055)"
13,"(53063, 53077, 53001)"
14,"(53063, 53077, 53051)"
15,"(53063, 53077, 53059)"
16,"(53063, 53077, 53043)"
17,"(53063, 53077, 53019)"
18,"(53063, 53077, 53069)"
19,"(53063, 53077, 53013)"
20,"(53063, 53077, 53023)"
21,"(53063, 53073, 53049)"
22,"(53063, 53073, 53039)"
23,"(53063, 53073, 53003)"
24,"(53063, 53073, 53055)"
25,"(53063, 53073, 53001)"
26,"(53063, 53073, 53051)"
27,"(53063, 53073, 53059)"
28,"(53063, 53073, 53043)"
29,"(53063, 53073, 53019)"
30,"(53063, 53073, 53069)"
31,"(53063, 53073, 53013)"
32,"(53063, 53073, 53023)"
33,"(53063, 53005, 53045)"
34,"(53063, 53005, 53071)"
35,"(53063, 53005, 53075)"
36,"(53063, 53005, 53065)"
37,"(53063, 53005, 53037)"
38,"(53063, 53005, 53047)"
39,"(53063, 53005, 53017)"
40,"(53063, 53005, 53031)"
41,"(53063, 53005, 53049)"
42,"(53063, 53005, 53039)"
43,"(53063, 53005, 53003)"
44,"(53063, 53005, 53055)"
45,"(53063, 53005, 53001)"
46,"(53063, 53005, 53051)"
47,"(53063, 53005, 53059)"
48,"(53063, 53005, 53043)"
49,"(53063, 53005, 53019)"
50,"(53063, 53005, 53069)"
51,"(53063, 53005, 53013)"
52,"(53063, 53005, 53023)"
53,"(53063, 53057, 53015)"
54,"(53063, 53057, 53029)"
55,"(53063, 53057, 53025)"
56,"(53063, 53057, 53021)"
57,"(53063, 53057, 53009)"
58,"(53063, 53057, 53041)"
59,"(53063, 53057, 53007)"
60,"(53063, 53057, 53027)"
61,"(53063, 53057, 53045)"
62,"(53063, 53057, 53071)"
63,"(53063, 53057, 53075)"
64,"(53063, 53057, 53065)"
65,"(53063, 53057, 53037)"
66,"(53063, 53057, 53047)"
67,"(53063, 53057, 53017)"
68,"(53063, 53057, 53031)"
69,"(53063, 53057, 53049)"
70,"(53063, 53057, 53039)"
71,"(53063, 53057, 53003)"
72,"(53063, 53057, 53055)"
73,"(53063, 53057, 53001)"
74,"(53063, 53057, 53051)"
75,"(53063, 53057, 53059)"
76,"(53063, 53057, 53043)"
77,"(53063, 53057, 53019)"
78,"(53063, 53057, 53069)"
79,"(53063, 53057, 53013)"
80,"(53063, 53057, 53023)"
81,"(53063, 53015, 53029)"
82,"(53063, 53015, 53025)"
83,"(53063, 53015, 53021)"
84,"(53063, 53015, 53009)"
85,"(53063, 53015, 53041)"
86,"(53063, 53015, 53007)"
87,"(53063, 53015, 53027)"
88,"(53063, 53015, 53045)"
89,"(53063, 53015, 53071)"
90,"(53063, 53015, 53075)"
91,"(53063, 53015, 53065)"
92,"(53063, 53015, 53037)"
93,"(53063, 53015, 53047)"
94,"(53063, 53015, 53017)"
95,"(53063, 53015, 53031)"
96,"(53063, 53015, 53049)"
97,"(53063, 53015, 53039)"
98,"(53063, 53015, 53003)"
99,"(53063, 53015, 53055)"
100,"(53063, 53015, 53001)"
101,"(53063, 53015, 53051)"
102,"(53063, 53015, 53059)"
103,"(53063, 53015, 53043)"
104,"(53063, 53029, 53025)"
105,"(53063, 53029, 53021)"
106,"(53063, 53029, 53009)"
107,"(53063, 53029, 53041)"
108,"(53063, 53029, 53007)"
109,"(53063, 53029, 53027)"
110,"(53063, 53029, 53045)"
111,"(53063, 53029, 53071)"
112,"(53063, 53029, 53075)"
113,"(53063, 53029, 53065)"
114,"(53063, 53029, 53037)"
115,"(53063, 53029, 53047)"
116,"(53063, 53029, 53017)"
117,"(53063, 53029, 53031)"
118,"(53063, 53025, 53021)"
119,"(53063, 53025, 53009)"
120,"(53063, 53025, 53041)"
121,"(53063, 53025, 53007)"
122,"(53063, 53025, 53027)"
123,"(53063, 53025, 53045)"
124,"(53063, 53025, 53071)"
125,"(53063, 53025, 53075)"
126,"(53063, 53025, 53065)"
127,"(53063, 53025, 53037)"
128,"(53063, 53025, 53047)"
129,"(53063, 53025, 53017)"
130,"(53063, 53025, 53031)"
131,"(53063, 53021, 53009)"
132,"(53063, 53021, 53041)"
133,"(53063, 53021, 53007)"
134,"(53063, 53021, 53027)"
135,"(53063, 53021, 53045)"
136,"(53063, 53021, 53071)"
137,"(53063, 53021, 53075)"
138,"(53063, 53021, 53065)"
139,"(53063, 53021, 53037)"
140,"(53063, 53021, 53047)"
141,"(53063, 53021, 53017)"
142,"(53063, 53021, 53031)"
143,"(53063, 53009, 53041)"
144,"(53063, 53009, 53007)"
145,"(53063, 53009, 53027)"
146,"(53063, 53009, 53045)"
147,"(53063, 53009, 53071)"
148,"(53063, 53009, 53075)"
149,"(53063, 53009, 53065)"
150,"(53063, 53009, 53037)"
151,"(53063, 53009, 53047)"
152,"(53063, 53009, 53017)"
153,"(53063, 53041, 53007)"
154,"(53063, 53041, 53027)"
155,"(53063, 53041, 53045)"
156,"(53063, 53041, 53071)"
157,"(53063, 53041, 53075)"
158,"(53063, 53041, 53065)"
159,"(53063, 53041, 53037)"
160,"(53063, 53041, 53047)"
161,"(53063, 53041, 53017)"
162,"(53063, 53007, 53027)"
163,"(53063, 53007, 53045)"
164,"(53063, 53007, 53071)"
165,"(53063, 53007, 53075)"
166,"(53063, 53007, 53065)"
167,"(53063, 53007, 53037)"
168,"(53063, 53007, 53047)"
169,"(53063, 53027, 53045)"
170,"(53063, 53027, 53071)"
171,"(53063, 53027, 53075)"
172,"(53063, 53027, 53065)"
173,"(53063, 53027, 53037)"
174,"(53063, 53045, 53071)"
175,"(53063, 53045, 53075)"
176,"(53011, 53067, 53051)"
177,"(53011, 53067, 53059)"
178,"(53011, 53067, 53043)"
179,"(53011, 53067, 53019)"
180,"(53011, 53067, 53069)"
181,"(53011, 53067, 53013)"
182,"(53011, 53067, 53023)"
183,"(53011, 53035, 53049)"
184,"(53011, 53035, 53039)"
185,"(53011, 53035, 53003)"
186,"(53011, 53035, 53055)"
187,"(53011, 53035, 53001)"
188,"(53011, 53035, 53051)"
189,"(53011, 53035, 53059)"
190,"(53011, 53035, 53043)"
191,"(53011, 53035, 53019)"
192,"(53011, 53035, 53069)"
193,"(53011, 53035, 53013)"
194,"(53011, 53035, 53023)"
195,"(53011, 53077, 53045)"
196,"(53011, 53077, 53071)"
197,"(53011, 53077, 53075)"
198,"(53011, 53077, 53065)"
199,"(53011, 53077, 53037)"
200,"(53011, 53077, 53047)"
201,"(53011, 53077, 53017)"
202,"(53011, 53077, 53031)"
203,"(53011, 53077, 53049)"
204,"(53011, 53077, 53039)"
205,"(53011, 53077, 53003)"
206,"(53011, 53077, 53055)"
207,"(53011, 53077, 53001)"
208,"(53011, 53077, 53051)"
209,"(53011, 53077, 53059)"
210,"(53011, 53077, 53043)"
211,"(53011, 53077, 53019)"
212,"(53011, 53077, 53069)"
213,"(53011, 53077, 53013)"
214,"(53011, 53077, 53023)"
215,"(53011, 53073, 53027)"
216,"(53011, 53073, 53045)"
217,"(53011, 53073, 53071)"
218,"(53011, 53073, 53075)"
219,"(53011, 53073, 53065)"
220,"(53011, 53073, 53037)"
221,"(53011, 53073, 53047)"
222,"(53011, 53073, 53017)"
223,"(53011, 53073, 53031)"
224,"(53011, 53073, 53049)"
225,"(53011, 53073, 53039)"
226,"(53011, 53073, 53003)"
227,"(53011, 53073, 53055)"
228,"(53011, 53073, 53001)"
229,"(53011, 53073, 53051)"
230,"(53011, 53073, 53059)"
231,"(53011, 53073, 53043)"
232,"(53011, 53073, 53019)"
233,"(53011, 53073, 53069)"
234,"(53011, 53073, 53013)"
235,"(53011, 53073, 53023)"
236,"(53011, 53005, 53015)"
237,"(53011, 53005, 53029)"
238,"(53011, 53005, 53025)"
239,"(53011, 53005, 53021)"
240,"(53011, 53005, 53009)"
241,"(53011, 53005, 53041)"
242,"(53011, 53005, 53007)"
243,"(53011, 53005, 53027)"
244,"(53011, 53005, 53045)"
245,"(53011, 53005, 53071)"
246,"(53011, 53005, 53075)"
247,"(53011, 53005, 53065)"
248,"(53011, 53005, 53037)"
249,"(53011, 53005, 53047)"
250,"(53011, 53005, 53017)"
251,"(53011, 53005, 53031)"
252,"(53011, 53005, 53049)"
253,"(53011, 53005, 53039)"
254,"(53011, 53005, 53003)"
255,"(53011, 53005, 53055)"
256,"(53011, 53005, 53001)"
257,"(53011, 53005, 53051)"
258,"(53011, 53005, 53059)"
259,"(53011, 53005, 53043)"
260,"(53011, 53005, 53019)"
261,"(53011, 53005, 53069)"
262,"(53011, 53005, 53013)"
263,"(53011, 53005, 53023)"
264,"(53011, 53057, 53015)"
265,"(53011, 53057, 53029)"
266,"(53011, 53057, 53025)"
267,"(53011, 53057, 53021)"
268,"(53011, 53057, 53009)"
269,"(53011, 53057, 53041)"
270,"(53011, 53057, 53007)"
271,"(53011, 53057, 53027)"
272,"(53011, 53057, 53045)"
273,"(53011, 53057, 53071)"
274,"(53011, 53057, 53075)"
275,"(53011, 53057, 53065)"
276,"(53011, 53057, 53037)"
277,"(53011, 53057, 53047)"
278,"(53011, 53057, 53017)"
