Total_Population,Total_Population_White_Alone,state_county,Name,Latitude,Longitude
13630,6621,53001,Adams,46.9272,-118.5110
17729,16099,53003,Asotin,46.1460,-117.2085
152644,113123,53005,Benton,46.3166,-119.5022
61405,45417,53007,Chelan,47.9445,-120.6749
64588,53896,53009,Clallam,48.1134,-123.7986
385835,300790,53011,Clark,45.7466,-122.5194
3277,2896,53013,Columbia,46.2775,-117.8143
85596,72143,53015,Cowlitz,46.1746,-122.7747
32199,22276,53017,Douglas,47.7791,-119.7475
5831,4352,53019,Ferry,48.4718,-118.4974
66302,33500,53021,Franklin,46.4937,-118.8672
1799,1661,53023,Garfield,46.5186,-117.5277
70900,43781,53025,Grant,47.1981,-119.3732
60530,49109,53027,GraysHarbor,46.9954,-123.7012
71175,57361,53029,Island,48.1976,-122.5795
1813470,1070548,53033,King,47.5480,-121.9836
219552,169927,53035,Kitsap,47.6477,-122.6413
36115,30252,53037,Kittitas,47.1750,-120.9319
64000,54326,53041,Lewis,46.6195,-122.4555
8582,7782,53043,Lincoln,47.5321,-118.4701
32978,22925,53047,Okanogan,48.5897,-119.6522
19358,16338,53049,Pacific,46.5181,-123.8265
709366,481554,53053,Pierce,47.0676,-122.1295
15258,13439,53055,SanJuan,48.6118,-122.9603
9798,8531,53059,Skamania,45.9429,-121.8962
639797,441622,53061,Snohomish,48.0330,-121.8339
36608,31669,53065,Stevens,48.4558,-117.9060
231089,175784,53067,Thurston,46.8646,-122.7696
49597,37430,53071,WallaWalla,46.2370,-118.5855
182483,145835,53073,Whatcom,48.8787,-121.9719
184371,97808,53077,Yakima,46.5436,-120.7558
28951,25524,53031,Jefferson,47.7425,-123.3040
18296,15080,53039,Klickitat,45.8888,-120.9711
53265,43108,53045,Mason,47.4251,-123.1951
10878,9729,53051,PendOreille,48.4359,-117.3173
101710,79544,53057,Skagit,48.4242,-121.7114
421551,354720,53063,Spokane,47.5909,-117.2777
3655,3297,53069,Wahkiakum,46.3259,-123.4946
40521,31026,53075,Whitman,46.8363,-117.5887
